model, RTX3080ti(GPU), RTX3080ti(CPU), NUC(GPU), NUC(CPU),
resnet18, 16.803656101226807, 169.54597854614258, 23.278241872787476, todo,
resnet34, 17.141077518463135, 280.5474326610565, 31.52906036376953, todo,
resnet-50, 19.997405767440796, 523.9516932964325, 43.629743814468384, todo,
resnet-101, 25.875438451766968, 805.4357748031616, 65.02895927429199, todo,
resnet-152, 30.793837785720825, 1121.0137231349945, 87.38637733459473, todo, 
